mgfkimbfxehkzt,13,14,0,1
ykiuwmgqzjqefk,18,18,5,18
dnxymszqwyq,14,8,4,18
pnevqcuzzqw,18,1,18,11
csfsjsswkd,19,9,19,0
aafozeropt,12,8,3,17
dtarkjltb,5,8,13,16
ovlrumaha,8,17,16,17
ykodyosfm,8,10,0,18
wrjeibwz,3,6,3,13
tuqpqhrd,5,4,12,11
tzniedhp,3,19,10,19
aiykemzp,4,9,11,16
urxhrvga,14,10,7,17
vljzcfx,13,12,19,12
zfvgbwm,4,1,10,7
xwfvlcd,19,13,13,13
nviaze,3,5,8,0
ueaxnw,10,5,5,0
udbajk,19,14,14,14
gydnk,16,1,16,5
itzaq,2,10,2,14
keaxm,16,7,16,11
ygymj,11,8,11,4
cjjiq,5,5,9,9
omcc,12,5,15,2
jcmk,13,1,10,4
nmni,17,6,17,3
swxx,0,10,0,7
ivus,10,6,7,3
zenl,15,8,15,11
ahuk,13,5,13,8
rvzp,7,9,4,12
bmws,16,15,19,18
wbd,8,2,10,0
qfp,15,15,17,17
han,1,18,3,16
mfk,7,14,9,16
imt,2,2,0,0
owb,2,7,0,5
byk,0,19,2,19
hoe,17,9,17,7
cgi,0,15,2,15
ojb,8,6,6,4
cyf,0,12,0,14
mmn,19,17,19,15
mpb,13,19,15,19
zmk,1,3,1,5
epi,1,13,1,11
wf,5,12,6,13
js,19,10,19,11
da,10,1,9,0
il,4,0,3,0
xu,2,6,1,7
zv,1,16,0,17
bv,3,3,4,2
xi,5,16,6,15
ul,4,7,4,6
tt,1,8,2,9
bu,15,6,14,5
xu,14,6,15,5
wx,6,0,5,1
ge,17,2,17,1
lq,17,15,18,15
wf,14,4,15,3
ju,8,1,7,0
qx,14,16,15,16
ft,16,0,15,0
yl,4,15,3,14
hx,0,4,0,3
ck,4,8,5,9
qw,14,0,15,1
ph,14,7,15,7
gd,17,0,18,0
df,2,4,2,5
px,12,1,13,0
pf,12,16,13,15
id,10,2,10,3
hk,2,1,3,1
pn,12,19,11,19
jx,18,19,19,19
nh,11,15,10,16
j,1,0,1,0
k,12,6,12,6
c,12,14,12,14
d,1,9,1,9
j,4,3,4,3
w,10,8,10,8
o,0,2,0,2
g,4,11,4,11
h,0,11,0,11
i,4,13,4,13
i,6,8,6,8
n,2,8,2,8
a,2,18,2,18
h,1,10,1,10
e,3,2,3,2
j,9,7,9,7
d,7,16,7,16
h,12,7,12,7
r,0,6,0,6
a,9,2,9,2
d,11,1,11,1
j,12,4,12,4
p,4,10,4,10
d,14,1,14,1
o,5,14,5,14
f,17,19,17,19
x,0,16,0,16
v,1,14,1,14
v,2,0,2,0
w,12,3,12,3
e,11,2,11,2
b,4,17,4,17
m,6,17,6,17
k,13,10,13,10
w,16,19,16,19
b,13,2,13,2
n,12,0,12,0
c,14,15,14,15
e,14,2,14,2
y,3,18,3,18
b,13,3,13,3
z,5,7,5,7
g,16,6,16,6
e,14,11,14,11
v,9,3,9,3
x,15,4,15,4
l,11,0,11,0
k,17,11,17,11
u,14,9,14,9
e,17,10,17,10
v,18,16,18,16
j,12,9,12,9
